service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1089,0,1,0,0,0,0,0,20240221,20281231
1200,1,1,1,1,1,1,1,20231009,20591231
1267,0,1,0,1,0,1,0,20240405,20591231
1296,0,0,1,0,0,0,1,20241103,20250302
1309,0,1,0,0,0,0,1,20241103,20250304
1310,0,0,0,1,0,1,0,20241102,20250306
1313,1,0,0,0,1,0,0,20241104,20250307
1391,0,0,1,0,1,0,1,20240406,20591231
1748,1,1,1,1,1,1,1,20240624,20591231
1753,1,1,1,1,1,1,1,20240624,20591231
1844,0,0,0,0,0,0,1,20240818,20591231
1846,0,1,0,1,0,0,0,20240820,20591231
1849,1,0,1,0,1,0,0,20240819,20591231
1852,0,0,0,0,0,0,1,20240818,20591231
1856,1,0,1,0,1,0,0,20240819,20591231
1858,0,1,0,1,0,0,0,20240820,20591231
1891,0,0,1,0,1,0,1,20240619,20591231
1913,1,1,1,1,1,1,1,20240624,20591231
1961,0,0,1,0,1,0,1,20240713,20591231
1965,0,1,0,0,0,0,1,20240724,20241029
1966,0,0,0,1,0,1,0,20240726,20241031
2011,1,0,0,0,1,0,0,20240831,20241101
2021,0,0,0,0,1,0,0,20240803,20281231
2023,0,0,0,0,0,1,1,20241102,20241103
2024,1,1,1,1,1,1,1,20240715,20241101
2026,1,1,1,1,1,1,1,20240715,20241101
2028,0,0,0,0,0,1,1,20241102,20241103
2127,0,0,1,0,1,0,1,20240926,20591231
2129,0,0,1,0,1,0,1,20240924,20591231
2130,0,0,1,0,0,0,1,20240923,20241030
2131,1,1,1,1,1,1,1,20241104,20591231
2132,1,1,1,1,1,1,1,20241104,20591231
2133,1,1,1,1,1,0,1,20240624,20241103
2134,1,1,1,1,1,0,1,20241104,20591231
2135,1,1,1,1,1,1,0,20240623,20241103
2136,1,1,1,1,1,1,0,20241104,20591231
2137,1,1,1,1,1,1,1,20241104,20591231
2138,1,1,1,1,1,1,1,20240624,20241103
2139,1,1,1,1,1,1,1,20240624,20241103
2140,1,1,1,1,1,1,1,20241104,20591231
2141,1,1,1,1,1,1,1,20241104,20591231
2142,1,1,1,1,1,1,1,20240624,20241103
2143,1,1,1,1,1,1,1,20240624,20241103
2144,1,1,1,1,1,1,1,20241104,20591231
2145,1,1,1,1,1,1,1,20241104,20591231
2146,1,1,1,1,1,1,1,20240624,20241103
2147,1,1,1,1,1,1,1,20241104,20591231
2148,1,1,1,1,1,1,1,20240624,20241103
2149,1,1,1,1,1,1,1,20240624,20241103
2150,1,1,1,1,1,1,1,20241104,20591231
2151,1,1,1,1,1,1,1,20240624,20241103
2152,1,1,1,1,1,1,1,20241104,20591231
2153,1,1,1,1,1,1,1,20241104,20591231
2154,1,1,1,1,1,1,1,20241007,20241103
2155,1,1,1,1,1,1,1,20241007,20241103
2156,1,1,1,1,1,1,1,20241104,20591231
2157,1,1,1,1,1,1,1,20241104,20591231
2158,1,1,1,1,1,1,1,20241007,20241103
2159,1,1,1,1,1,0,1,20241007,20241103
2160,1,1,1,1,1,0,1,20241104,20591231
2161,1,1,1,1,1,0,1,20241104,20591231
2162,1,1,1,1,1,0,1,20241007,20241103
2163,1,1,1,1,1,1,1,20241007,20241103
2164,1,1,1,1,1,1,1,20241104,20591231
2165,1,1,1,1,1,1,1,20241007,20241103
2166,1,1,1,1,1,1,1,20241104,20591231
2167,0,0,0,0,1,0,1,20241108,20591231
2168,0,0,0,0,1,0,1,20241007,20241107
2169,0,0,0,1,1,0,1,20241007,20241106
2170,0,0,0,1,1,0,1,20241107,20591231
2171,1,1,1,1,1,1,1,20241007,20241103
2172,1,1,1,1,1,1,1,20241104,20591231
2173,1,1,1,1,1,1,1,20241104,20591231
2174,1,1,1,1,1,1,1,20241007,20241103
2175,1,1,1,1,1,1,1,20241007,20241103
2176,1,1,1,1,1,1,1,20241104,20591231
2177,1,1,1,1,0,0,0,20241104,20591231
2178,1,1,1,1,0,0,0,20240527,20241103
2179,1,1,1,1,1,1,1,20241007,20241103
2180,1,1,1,1,1,1,1,20241104,20591231
2181,0,0,0,0,0,1,1,20241109,20591231
2182,0,0,0,0,0,1,1,20240601,20241108
2183,1,1,1,1,1,1,1,20241007,20241103
2184,1,1,1,1,1,1,1,20241104,20591231
2185,0,0,0,0,0,1,1,20241109,20591231
2186,0,0,0,0,0,1,1,20240601,20241108
2187,1,1,1,1,1,1,1,20241104,20591231
2188,1,1,1,1,1,1,1,20241007,20241103
2189,1,1,1,1,1,1,0,20241006,20241103
2190,1,1,1,1,1,1,0,20241104,20591231
2191,1,1,1,1,1,1,0,20241006,20241103
2192,1,1,1,1,1,1,0,20241104,20591231
