route_id,service_id,trip_id,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
HUD,1089,1089,690,1,1,2
MAP,1200,1200,AMK63,1,1,2
SUP,1267,1267,185,0,1,2
CAN,1296,1296,1,0,1,1
HUD,1309,1309,693,0,1,1
HUD,1310,1310,692,1,1,2
CAN,1313,1313,2,1,1,1
SUP,1391,1391,186,1,1,2
MAP,1748,1748,98,1,1,2
MAP,1753,1753,97,0,1,2
ABI,1844,1844,606,1,1,1
ABI,1846,1846,604,1,1,1
ABI,1849,1849,603,0,1,1
SAG,1852,1852,602,1,1,1
SAG,1856,1856,601,0,1,1
SAG,1858,1858,600,1,1,2
OCE,1891,1891,14,1,1,1
MAP,1913,1913,AMK64,0,1,2
OCE,1961,1961,15,0,1,1
HUD,1965,1965,693,0,1,1
HUD,1966,1966,692,1,1,2
CAN,2011,2011,2,1,1,1
HUD,2021,2021,691,0,1,1
TLS,2023,2023,87,0,1,2
TLS,2024,2024,87,0,1,2
TLS,2026,2026,84,1,1,2
TLS,2028,2028,84,1,1,2
SKN,2127,2127,6,1,1,2
SKN,2129,2129,5,0,1,2
CAN,2130,2130,1,0,1,1
TLS,2131,2131,87,0,1,2
TLS,2132,2132,84,1,1,2
TLW,2133,2133,83,0,1,2
TLW,2134,2134,83,0,1,2
TLW,2135,2135,82,1,1,2
TLW,2136,2136,82,1,1,2
TLW,2137,2137,79,0,1,2
TLW,2138,2138,79,0,1,2
TLW,2139,2139,78,1,1,2
TLW,2140,2140,78,1,1,2
TLW,2141,2141,76,1,1,2
TLW,2142,2142,76,1,1,2
TLW,2143,2143,75,0,1,2
TLW,2144,2144,75,0,1,2
TLW,2145,2145,73,0,1,2
TLW,2146,2146,73,0,1,2
TLW,2147,2147,72,1,1,2
TLW,2148,2148,72,1,1,2
TLW,2149,2149,71,0,1,2
TLW,2150,2150,71,0,1,2
TLW,2151,2151,70,1,1,2
TLW,2152,2152,70,1,1,2
MKT,2153,2153,69,0,1,2
MKT,2154,2154,69,0,1,2
MKT,2155,2155,68,1,1,2
MKT,2156,2156,68,1,1,2
MKT,2157,2157,67,0,1,2
MKT,2158,2158,67,0,1,2
MKT,2159,2159,669,0,1,2
MKT,2160,2160,669,0,1,2
MKT,2161,2161,668,1,1,2
MKT,2162,2162,668,1,1,2
MKT,2163,2163,66,1,1,2
MKT,2164,2164,66,1,1,2
MKT,2165,2165,65,0,1,2
MKT,2166,2166,65,0,1,2
OKT,2167,2167,647,0,1,2
OKT,2168,2168,647,0,1,2
OKT,2169,2169,646,1,1,2
OKT,2170,2170,646,1,1,2
OKT,2171,2171,645,0,1,2
OKT,2172,2172,645,0,1,2
OKT,2173,2173,644,1,1,2
OKT,2174,2174,644,1,1,2
OKT,2175,2175,643,0,1,2
OKT,2176,2176,643,0,1,2
OKT,2177,2177,641,0,1,2
OKT,2178,2178,641,0,1,2
MKT,2179,2179,64,1,1,2
MKT,2180,2180,64,1,1,2
OMQ,2181,2181,633,0,1,2
OMQ,2182,2182,633,0,1,2
MKT,2183,2183,63,0,1,2
MKT,2184,2184,63,0,1,2
OMQ,2185,2185,622,1,1,2
OMQ,2186,2186,622,1,1,2
MKT,2187,2187,62,1,1,2
MKT,2188,2188,62,1,1,2
MKT,2189,2189,61,0,1,2
MKT,2190,2190,61,0,1,2
MKT,2191,2191,60,1,1,2
MKT,2192,2192,60,1,1,2
OKT,2193,2193,59,0,1,2
OKT,2194,2194,59,0,1,2
OKT,2195,2195,55,0,1,2
OKT,2196,2196,55,0,1,2
OKT,2197,2197,54,1,1,2
OKT,2198,2198,54,1,1,2
OKT,2199,2199,53,0,1,2
OKT,2200,2200,53,0,1,2
OKT,2201,2201,52,1,1,2
OKT,2202,2202,52,1,1,2
OKT,2203,2203,50,1,1,2
OKT,2204,2204,50,1,1,2
OKT,2205,2205,48,1,1,2
OKT,2206,2206,48,1,1,2
OKT,2207,2207,47,0,1,2
OKT,2208,2208,47,0,1,2
OKT,2209,2209,46,1,1,2
OKT,2210,2210,46,1,1,2
OKT,2211,2211,45,0,1,2
OKT,2212,2212,45,0,1,2
OKT,2213,2213,44,1,1,2
OKT,2214,2214,44,1,1,2
OKT,2215,2215,43,0,1,2
OKT,2216,2216,43,0,1,2
OKT,2217,2217,42,1,1,2
OKT,2218,2218,42,1,1,2
OKT,2219,2219,41,0,1,2
OKT,2220,2220,41,0,1,2
OKT,2221,2221,40,1,1,2
OKT,2222,2222,40,1,1,2
OMQ,2223,2223,39,0,1,2
OMQ,2224,2224,39,0,1,2
OMQ,2225,2225,38,1,1,2
OMQ,2226,2226,38,1,1,2
OMQ,2227,2227,37,0,1,2
OMQ,2228,2228,37,0,1,2
OMQ,2229,2229,35,0,1,2
OMQ,2230,2230,35,0,1,2
OMQ,2231,2231,33,0,1,2
OMQ,2232,2232,33,0,1,2
OMQ,2233,2233,31,0,1,2
OMQ,2234,2234,31,0,1,2
OMQ,2235,2235,29,0,1,2
OMQ,2236,2236,29,0,1,2
OMQ,2237,2237,28,1,1,2
OMQ,2238,2238,28,1,1,2
OMQ,2239,2239,26,1,1,2
OMQ,2240,2240,26,1,1,2
OMQ,2241,2241,26,1,1,2
OMQ,2242,2242,26,1,1,2
OMQ,2243,2243,24,1,1,2
OMQ,2244,2244,24,1,1,2
OMQ,2245,2245,22,1,1,2
OMQ,2246,2246,22,1,1,2
OMQ,2247,2247,20,1,1,2
OMQ,2248,2248,20,1,1,2
OMQ,2250,2250,624,1,1,2
