service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1089,0,1,0,0,0,0,0,20240221,20281231
1200,1,1,1,1,1,1,1,20231009,20591231
1267,0,1,0,1,0,1,0,20240405,20591231
1296,0,0,1,0,0,0,1,20241103,20250302
1309,0,1,0,0,0,0,1,20241103,20250304
1310,0,0,0,1,0,1,0,20241102,20250306
1313,1,0,0,0,1,0,0,20241104,20250307
1391,0,0,1,0,1,0,1,20240406,20591231
1558,1,1,1,1,0,0,0,20240527,20591231
1748,1,1,1,1,1,1,1,20240624,20591231
1753,1,1,1,1,1,1,1,20240624,20591231
1767,1,1,1,1,1,1,1,20240624,20591231
1771,1,1,1,1,1,1,1,20240624,20591231
1774,1,1,1,1,1,1,1,20240624,20591231
1779,1,1,1,1,1,1,1,20240624,20591231
1782,1,1,1,1,1,1,1,20240624,20591231
1787,1,1,1,1,1,1,1,20240624,20591231
1790,1,1,1,1,1,1,1,20240624,20591231
1794,1,1,1,1,1,1,1,20240624,20591231
1797,0,0,0,0,0,1,1,20240601,20591231
1799,0,0,0,0,0,1,1,20240601,20591231
1805,1,1,1,1,1,1,1,20240527,20591231
1810,1,1,1,1,1,1,1,20240527,20591231
1816,1,1,1,1,1,0,0,20240527,20591231
1818,1,1,1,1,1,1,1,20240527,20591231
1819,1,1,1,1,1,1,1,20240527,20591231
1825,0,0,0,0,1,0,0,20240531,20591231
1832,1,1,1,1,1,0,0,20240527,20591231
1844,0,0,0,0,0,0,1,20240818,20591231
1846,0,1,0,1,0,0,0,20240820,20591231
1849,1,0,1,0,1,0,0,20240819,20591231
1852,0,0,0,0,0,0,1,20240818,20591231
1856,1,0,1,0,1,0,0,20240819,20591231
1858,0,1,0,1,0,0,0,20240820,20591231
1872,1,1,1,1,1,1,1,20240530,20591231
1891,0,0,1,0,1,0,1,20240619,20591231
1897,1,1,1,1,1,0,1,20240624,20591231
1901,1,1,1,1,1,1,0,20240623,20591231
1913,1,1,1,1,1,1,1,20240624,20591231
1948,1,1,1,1,1,0,0,20240620,20591231
1956,1,1,1,1,1,0,0,20240711,20591231
1957,1,1,1,1,0,1,1,20240711,20591231
1958,1,1,1,1,1,1,1,20240711,20591231
1961,0,0,1,0,1,0,1,20240713,20591231
1965,0,1,0,0,0,0,1,20240724,20241029
1966,0,0,0,1,0,1,0,20240726,20241031
2011,1,0,0,0,1,0,0,20240831,20241101
2021,0,0,0,0,1,0,0,20240803,20281231
2023,0,0,0,0,0,1,1,20241102,20241103
2024,1,1,1,1,1,1,1,20240715,20241101
2025,1,1,1,1,1,1,1,20241104,20591231
2026,1,1,1,1,1,1,1,20240715,20241101
2027,1,1,1,1,1,1,1,20241104,20591231
2028,0,0,0,0,0,1,1,20241102,20241103
2029,1,1,1,1,1,1,1,20240918,20591231
2030,0,0,0,0,0,1,1,20241005,20241006
2032,1,1,1,1,1,1,1,20241007,20591231
2033,0,0,0,0,0,1,1,20241005,20241006
2035,1,1,1,1,1,1,1,20241007,20591231
2036,0,0,0,0,0,1,1,20241005,20241006
2038,1,1,1,1,1,1,1,20241007,20591231
2039,1,1,1,1,1,0,1,20240527,20241005
2040,1,1,1,1,1,0,1,20241007,20591231
2041,0,0,0,0,0,0,1,20241006,20241006
2042,0,0,0,0,0,0,1,20241006,20241006
2043,1,1,1,1,1,0,1,20240527,20241005
2044,1,1,1,1,1,0,1,20241007,20591231
2046,1,1,1,1,1,1,1,20241007,20591231
2047,0,0,0,0,0,1,1,20241005,20241006
2049,1,1,1,1,1,1,1,20241007,20591231
2050,0,0,0,0,0,1,1,20241005,20241006
2051,0,0,0,0,1,0,1,20240531,20241005
2052,0,0,0,0,1,0,1,20241007,20591231
2053,0,0,0,0,0,0,1,20241006,20241006
2054,0,0,0,1,1,0,1,20240530,20241005
2055,0,0,0,1,1,0,1,20241007,20591231
2056,0,0,0,0,0,0,1,20241006,20241006
2057,0,0,0,0,0,1,1,20241005,20241006
2059,1,1,1,1,1,1,1,20241007,20591231
2061,1,1,1,1,1,1,1,20241007,20591231
2062,0,0,0,0,0,1,1,20241005,20241006
2063,0,0,0,0,0,1,1,20241005,20241006
2065,1,1,1,1,1,1,1,20241007,20591231
2066,0,0,0,0,0,1,1,20241005,20241006
2068,1,1,1,1,1,1,1,20241007,20591231
2069,0,0,0,0,0,1,1,20241005,20241006
2071,1,1,1,1,1,1,1,20241007,20591231
2072,0,0,0,0,0,1,1,20241005,20241006
2074,1,1,1,1,1,1,1,20241007,20591231
2075,0,0,0,0,0,1,0,20241005,20241005
2077,1,1,1,1,1,1,0,20241006,20591231
2078,0,0,0,0,0,1,0,20241005,20241005
