stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone
MTRL,MTRL,Montreal,Central Station,45.5001121,-73.5665224,Canada/Eastern
CWLL,CWLL,Cornwall,,45.0417765,-74.7435764,Canada/Eastern
BRKV,BRKV,Brockville,,44.59220699999999,-75.69285300000001,Canada/Eastern
GANA,GANA,Gananoque,,44.3686962,-76.15372769999999,Canada/Eastern
FALL,FALL,Fallowfield,,45.29927439999999,-75.73653790000003,Canada/Eastern
KGON,KGON,Kingston,,44.25722589999999,-76.53680209999999,Canada/Eastern
NAPN,NAPN,Napanee,,44.253560477074636,-76.95433616638184,Canada/Eastern
SMTF,SMTF,Smiths Falls,,44.9125345,-76.02388880000001,Canada/Eastern
BRTF,BRTF,Brantford,,43.1465439,-80.26561400000003,Canada/Eastern
BLVL,BLVL,Belleville,,44.179634,-77.3741244,Canada/Eastern
WDST,WDST,Woodstock,,43.1262797,-80.75179120000001,Canada/Eastern
INGR,INGR,Ingersoll,,43.040539,-80.8879038,Canada/Eastern
OTTW,OTTW,Ottawa,,45.4163374,-75.65172319999999,Canada/Eastern
LNDN,LNDN,London,,42.98138549999999,-81.24662999999998,Canada/Eastern
TRNJ,TRNJ,Trenton Junction,,44.11529030867497,-77.59892463684082,Canada/Eastern
GLNC,GLNC,Glencoe,,42.7468834,-81.71063620000001,Canada/Eastern
CBRG,CBRG,Cobourg,,43.9678916,-78.17066420000003,Canada/Eastern
CHAT,CHAT,Chatham,,42.3970518,-82.17963650000002,Canada/Eastern
PHOP,PHOP,Port Hope,,43.943518416070965,-78.29887390136719,Canada/Eastern
WDON,WDON,Windsor,,42.3250091,-83.00707290000003,Canada/Eastern
OSHA,OSHA,Oshawa,,43.871013550670554,-78.88484001159668,Canada/Eastern
MALT,MALT,Malton,,43.706118,-79.63920940000003,Canada/Eastern
BRMP,BRMP,Brampton,,43.687251,-79.7650327,Canada/Eastern
GUIL,GUIL,Guildwood,,43.7548220804212,-79.19855117797852,Canada/Eastern
CSLM,CSLM,Casselman,,45.3122249,-75.0873641,Canada/Eastern
GEOR,GEOR,Georgetown,,43.655373,-79.91905400000002,Canada/Eastern
TRTO,TRTO,Toronto,Union Station,43.645195,-79.38060000000002,Canada/Eastern
GUEL,GUEL,Guelph,,43.5443326,-80.24693539999998,Canada/Eastern
OAKV,OAKV,Oakville,,43.45509963106714,-79.68263626098633,Canada/Eastern
ALEX,ALEX,Alexandria,,45.317979,-74.63969750000001,Canada/Eastern
KITC,KITC,Kitchener,,43.4554564,-80.49303069999996,Canada/Eastern
STRF,STRF,Stratford,,43.3645488,-80.97514899999999,Canada/Eastern
ALDR,ALDR,Aldershot,,43.3133209,-79.85562600000003,Canada/Eastern
SMYS,SMYS,St. Marys,,43.26011829999999,-81.13698360000001,Canada/Eastern
COTO,COTO,Coteau,,45.2747482,-74.2327674,Canada/Eastern
DRMV,DRMV,Drummondville,,45.882121731080076,-72.48839378356934,Canada/Eastern
STRR,STRR,Strathroy,,42.95469501672383,-81.6229248046875,Canada/Eastern
DORV,DORV,Dorval,,45.44875039999999,-73.7413262,Canada/Eastern
WYOM,WYOM,Wyoming,,42.9481581,-82.12085509999997,Canada/Eastern
SARN,SARN,Sarnia,,42.95787989999999,-82.3893036,Canada/Eastern
GRIM,GRIM,Grimsby,,43.1959421,-79.55804869999997,Canada/Eastern
SCAT,SCAT,St. Catharines,,43.1477614,-79.25626699999998,Canada/Eastern
NIAG,NIAG,Niagara Falls,,43.1086964,-79.0627776,Canada/Eastern
SLAM,SLAM,Saint-Lambert,,45.4989308,-73.50736710000001,Canada/Eastern
SHYA,SHYA,Saint-Hyacinthe,,45.6272294,-72.9493721,Canada/Eastern
SFOY,SFOY,Sainte-Foy,,46.7543271,-71.2976554,Canada/Eastern
CHNY,CHNY,Charny,,46.7135873,-71.27038040000002,Canada/Eastern
QBEC,QBEC,Quebec,Gare du Palais,46.81747750907954,-71.21389389038086,Canada/Eastern
NFNY,NFNY,Niagara Falls,,43.10988770000001,-79.05492759999998,US/Eastern
AMKM,AMKM,Border CA/US,,43.1092244,-79.0598933,Canada/Eastern
BUFX,BUFX,Buffalo (Exchange),,42.8790546,-78.87542439999999,US/Eastern
BUFF,BUFF,Buffalo (Depew),,42.9071126,-78.72657229999999,US/Eastern
ROCH,ROCH,Rochester,,43.1635204,-77.60824009999999,US/Eastern
SYRA,SYRA,Syracuse,,43.0770698607784,-76.16992950439453,US/Eastern
ROME,ROME,Rome,,43.1995241,-75.4499945,US/Eastern
UTIC,UTIC,Utica,,43.1041839,-75.2232219,US/Eastern
AMST,AMST,Amsterdam,,42.95368200000001,-74.21953150000002,US/Eastern
SCHE,SCHE,Schenectady,,42.814559,-73.94274489999998,US/Eastern
ALBY,ALBY,Albany-Rensselaer,,42.6413525,-73.7411492,US/Eastern
HUDS,HUDS,Hudson,,42.25408514529943,-73.79771947860718,US/Eastern
RHIN,RHIN,Rhinecliff,,41.9212589,-73.95132060000003,US/Eastern
POUG,POUG,Poughkeepsie,,41.7071089,-73.93766779999999,US/Eastern
CROT,CROT,Croton-Harmon,,41.1898375,-73.88262929999996,US/Eastern
YONK,YONK,Yonkers,,40.9355917,-73.90233920000003,US/Eastern
NEWY,NEWY,New York,Penn Station,40.750568,-73.99351899999999,US/Eastern
CAPR,CAPR,Capreol,,46.7109015,-80.92916109999999,Canada/Eastern
HNPN,HNPN,Hornepayne,,49.21719299999999,-84.77356900000001,Canada/Eastern
COLL,COLL,Collins,,50.295803,-89.44890900000001,Canada/Eastern
ALWB,ALWB,Allanwater Bridge,,50.2406654,-90.16688629999999,Canada/Central
SLKT,SLKT,Sioux Lookout,,50.0975493,-91.91639839999999,Canada/Central
WNPG,WNPG,Winnipeg,Union Station,49.88921089999999,-97.13449409999998,Canada/Central
MELV,MELV,Melville,,50.9265657,-102.80713750000001,Canada/Saskatchewan
SASK,SASK,Saskatoon,,52.104955,-106.73827399999999,Canada/Saskatchewan
UNIT,UNIT,Unity,,52.441105,-109.16017499999998,Canada/Saskatchewan
WAIN,WAIN,Wainwright,,52.83286200000001,-110.86457300000001,Canada/Mountain
EDMO,EDMO,Edmonton,,53.5788686,-113.5307153,Canada/Mountain
JASP,JASP,Jasper,,52.8761326,-118.07960249999996,Canada/Mountain
VLMT,VLMT,Valemount,,52.8348572,-119.2616921,Canada/Pacific
KAMN,KAMN,Kamloops North,,50.7182112,-120.34831759999997,Canada/Pacific
VCVR,VCVR,Vancouver,Pacific Central Station,49.2737759,-123.09783600000003,Canada/Pacific
HLFX,HLFX,Halifax,,44.63922343581678,-63.56770992279053,Canada/Atlantic
TRUR,TRUR,Truro,,45.36245856472071,-63.275628089904785,Canada/Atlantic
SPRJ,SPRJ,Springhill Jct.,,45.69188204423378,-64.11123275756836,Canada/Atlantic
AMHS,AMHS,Amherst,,45.83047382900793,-64.21259880065918,Canada/Atlantic
SACK,SACK,Sackville,,45.89042634704503,-64.36756610870361,Canada/Atlantic
MCTN,MCTN,Moncton,,46.083441484331814,-64.78616237640381,Canada/Atlantic
RGRV,RGRV,Rogersville,,46.72950714675161,-65.42555809020996,Canada/Atlantic
MIRA,MIRA,Miramichi,,47.00475327058779,-65.5733585357666,Canada/Atlantic
PROC,PROC,Petit Rocher,,47.778732250142234,-65.72991371154785,Canada/Atlantic
JACR,JACR,Jacquet River,,47.920253593095545,-66.00019454956055,Canada/Atlantic
CHLO,CHLO,Charlo,,47.99420100535722,-66.30459308624268,Canada/Atlantic
CBTN,CBTN,Campbellton,,48.004883441048875,-66.6783857345581,Canada/Atlantic
MTPD,MTPD,Matapedia,,47.97486936509618,-66.9391393661499,Canada/Eastern
CAUS,CAUS,Causapscal,,48.349632628345745,-67.22723007202148,Canada/Eastern
AMQU,AMQU,Amqui,,48.466263125051086,-67.43618488311768,Canada/Eastern
SAYA,SAYA,Sayabec,,48.558674058835855,-67.68952785823308,Canada/Eastern
MJLI,MJLI,Mont-Joli,,48.589240690328786,-68.1890058517456,Canada/Eastern
RMSK,RMSK,Rimouski,,48.45012629857297,-68.52121353149414,Canada/Eastern
TPIS,TPIS,Trois Pistoles,,48.12711417314652,-69.1733980178833,Canada/Eastern
RDLX,RDLX,Riviere-du-Loup,,47.825315057590835,-69.52770709991455,Canada/Eastern
LPOC,LPOC,La Pocatière,,47.361182076994965,-70.02531051635742,Canada/Eastern
MMGY,MMGY,Montmagny,,46.97328349665828,-70.55964946746826,Canada/Eastern
SAUV,SAUV,Sauve,,45.5496702683814,-73.6543607711792,Canada/Eastern
JOLI,JOLI,Joliette,,46.02938880791639,-73.44403266906738,Canada/Eastern
SJUS,SJUS,Saint-Justin,,46.27317332099715,-73.10972213745117,Canada/Eastern
SPAU,SPAU,Saint-Paulin,,46.40111271261873,-73.01599502563477,Canada/Eastern
CHRT,CHRT,Charette,,46.44208591579237,-72.92171001434326,Canada/Eastern
SHWN,SHWN,Shawinigan,,46.549711748727596,-72.74524211883545,Canada/Eastern
GMRE,GMRE,Grand-Mere,,46.60587722703103,-72.68670558929443,Canada/Eastern
GARN,GARN,Garneau,,46.640008243515915,-72.63833999633789,Canada/Eastern
STIT,STIT,Saint-Tite,,46.72312348789452,-72.56418228149414,Canada/Eastern
HERV,HERV,Hervey,,46.85363207604627,-72.46785879135132,Canada/Eastern
ROUS,ROUS,Rousseau,,46.93382498299527,-72.2865629196167,Canada/Eastern
RAPX,RAPX,Riviere-a-Pierre,,46.989093885164735,-72.17966079711914,Canada/Eastern
MIQK,MIQK,Miquick,,47.21991788358141,-72.25132942199707,Canada/Eastern
JACC,JACC,Club Jacques-Cartier,,47.31857768821123,-72.21261978149414,Canada/Eastern
FALR,FALR,Falrie,,47.33754306785725,-72.20232009887695,Canada/Eastern
PBDT,PBDT,Pont Beaudet,,47.35560038769889,-72.19995975494385,Canada/Eastern
SHPN,SHPN,Saint-Hilaire de Portneuf,,47.366530641824916,-72.21116065979004,Canada/Eastern
BIMA,BIMA,Bima,,47.37987062198322,-72.22085952758789,Canada/Eastern
LMAL,LMAL,Lac Malouin,,47.394398350790496,-72.22437858581543,Canada/Eastern
IRQC,IRQC,Club Iroquois,,47.419579941651705,-72.23210334777832,Canada/Eastern
STAD,STAD,Stadacona,,47.4414116648214,-72.24918365478516,Canada/Eastern
SANF,SANF,Sanford,,47.48240874665262,-72.21922874450684,Canada/Eastern
PRLL,PRLL,Pearl lake,,47.53232800085228,-72.23502159118652,Canada/Eastern
HRDL,HRDL,Hirondelle,,47.536674120125305,-72.24334716796875,Canada/Eastern
NCLC,NCLC,Club Nicol,,47.57522290701206,-72.24107265472412,Canada/Eastern
TRTC,TRTC,Club Triton,,47.61348296266395,-72.24420547485352,Canada/Eastern
LEDW,LEDW,Lac-Edouard,,47.66648561065035,-72.2695255279541,Canada/Eastern
CHER,CHER,Cherokee,,47.7241403820426,-72.2299575805664,Canada/Eastern
CARI,CARI,Caribou,,47.733089061400335,-72.21588134765625,Canada/Eastern
GRGC,GRGC,Club Gregoire,,47.769272224136465,-72.18283653259277,Canada/Eastern
SMMC,SMMC,Club Sommet,,47.78340394515312,-72.18674182891846,Canada/Eastern
