route_id,service_id,trip_id,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
HUD,1089,1089,690,1,1,2
MAP,1200,1200,AMK63,1,1,2
SUP,1267,1267,185,0,1,2
CAN,1296,1296,1,0,1,1
HUD,1309,1309,693,0,1,1
HUD,1310,1310,692,1,1,2
CAN,1313,1313,2,1,1,1
SUP,1391,1391,186,1,1,2
OKT,1558,1558,641,0,1,2
MAP,1748,1748,98,1,1,2
MAP,1753,1753,97,0,1,2
TLW,1767,1767,79,0,1,2
TLW,1771,1771,78,1,1,2
TLW,1774,1774,76,1,1,2
TLW,1779,1779,75,0,1,2
TLW,1782,1782,73,0,1,2
TLW,1787,1787,72,1,1,2
TLW,1790,1790,71,0,1,2
TLW,1794,1794,70,1,1,2
OMQ,1797,1797,633,0,1,2
OMQ,1799,1799,622,1,1,2
OMQ,1805,1805,38,1,1,2
OMQ,1810,1810,35,0,1,2
OMQ,1816,1816,31,0,1,2
OMQ,1818,1818,29,0,1,2
OMQ,1819,1819,28,1,1,2
OMQ,1825,1825,26,1,1,2
OMQ,1832,1832,20,1,1,2
ABI,1844,1844,606,1,1,1
ABI,1846,1846,604,1,1,1
ABI,1849,1849,603,0,1,1
SAG,1852,1852,602,1,1,1
SAG,1856,1856,601,0,1,1
SAG,1858,1858,600,1,1,2
OMQ,1872,1872,37,0,1,2
OCE,1891,1891,14,1,1,1
TLW,1897,1897,83,0,1,2
TLW,1901,1901,82,1,1,2
MAP,1913,1913,AMK64,0,1,2
OMQ,1948,1948,22,1,1,2
OMQ,1956,1956,33,0,1,2
OMQ,1957,1957,26,1,1,2
OMQ,1958,1958,24,1,1,2
OCE,1961,1961,15,0,1,1
HUD,1965,1965,693,0,1,1
HUD,1966,1966,692,1,1,2
CAN,2011,2011,2,1,1,1
HUD,2021,2021,691,0,1,1
TLS,2023,2023,87,0,1,2
TLS,2024,2024,87,0,1,2
TLS,2025,2025,87,0,1,2
TLS,2026,2026,84,1,1,2
TLS,2027,2027,84,1,1,2
TLS,2028,2028,84,1,1,2
OMQ,2029,2029,39,0,1,2
MKT,2030,2030,69,0,1,2
MKT,2032,2032,69,0,1,2
MKT,2033,2033,68,1,1,2
MKT,2035,2035,68,1,1,2
MKT,2036,2036,67,0,1,2
MKT,2038,2038,67,0,1,2
MKT,2039,2039,669,0,1,2
MKT,2040,2040,669,0,1,2
MKT,2041,2041,669,0,1,2
MKT,2042,2042,668,1,1,2
MKT,2043,2043,668,1,1,2
MKT,2044,2044,668,1,1,2
MKT,2046,2046,66,1,1,2
MKT,2047,2047,66,1,1,2
MKT,2049,2049,65,0,1,2
MKT,2050,2050,65,0,1,2
OKT,2051,2051,647,0,1,2
OKT,2052,2052,647,0,1,2
OKT,2053,2053,647,0,1,2
OKT,2054,2054,646,1,1,2
OKT,2055,2055,646,1,1,2
OKT,2056,2056,646,1,1,2
OKT,2057,2057,645,0,1,2
OKT,2059,2059,645,0,1,2
OKT,2061,2061,644,1,1,2
OKT,2062,2062,644,1,1,2
OKT,2063,2063,643,0,1,2
OKT,2065,2065,643,0,1,2
MKT,2066,2066,64,1,1,2
MKT,2068,2068,64,1,1,2
MKT,2069,2069,63,0,1,2
MKT,2071,2071,63,0,1,2
MKT,2072,2072,62,1,1,2
MKT,2074,2074,62,1,1,2
MKT,2075,2075,61,0,1,2
MKT,2077,2077,61,0,1,2
MKT,2078,2078,60,1,1,2
MKT,2080,2080,60,1,1,2
OKT,2081,2081,59,0,1,2
OKT,2083,2083,59,0,1,2
OKT,2085,2085,55,0,1,2
OKT,2086,2086,55,0,1,2
OKT,2088,2088,54,1,1,2
OKT,2089,2089,54,1,1,2
OKT,2091,2091,53,0,1,2
OKT,2092,2092,53,0,1,2
OKT,2093,2093,52,1,1,2
OKT,2095,2095,52,1,1,2
OKT,2096,2096,50,1,1,2
OKT,2098,2098,50,1,1,2
OKT,2099,2099,48,1,1,2
OKT,2100,2100,48,1,1,2
OKT,2101,2101,48,1,1,2
OKT,2102,2102,47,0,1,2
OKT,2104,2104,47,0,1,2
OKT,2105,2105,46,1,1,2
OKT,2107,2107,46,1,1,2
OKT,2109,2109,45,0,1,2
OKT,2110,2110,45,0,1,2
OKT,2111,2111,44,1,1,2
OKT,2112,2112,44,1,1,2
OKT,2113,2113,44,1,1,2
OKT,2114,2114,43,0,1,2
OKT,2115,2115,43,0,1,2
OKT,2116,2116,43,0,1,2
OKT,2118,2118,42,1,1,2
OKT,2119,2119,42,1,1,2
OKT,2120,2120,41,0,1,2
OKT,2122,2122,41,0,1,2
OKT,2123,2123,40,1,1,2
OKT,2125,2125,40,1,1,2
SKN,2127,2127,6,1,1,2
SKN,2129,2129,5,0,1,2
CAN,2130,2130,1,0,1,1
